Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
267148.0	205050.0	4000	200	5.0	1.0

267148.0	269835.0	1000	300	25.0	0.001

267148.0	180493.0	2000	300	25.0	0.01

267148.0	183994.0	3000	300	25.0	0.1

267148.0	229324.0	4000	300	25.0	1.0

267148.0	210805.0	1000	400	125.0	0.001

267148.0	187712.0	2000	400	125.0	0.01

267148.0	203278.0	3000	400	125.0	0.1

267148.0	255271.0	4000	400	125.0	1.0

267148.0	205546.0	1000	100	1.0	0.001

267148.0	184650.0	2000	100	1.0	0.01

267148.0	174174.0	3000	100	1.0	0.1

267148.0	208774.0	4000	100	1.0	1.0

267148.0	222989.0	1000	200	5.0	0.001

267148.0	182896.0	2000	200	5.0	0.01

267148.0	178141.0	3000	200	5.0	0.1

267148.0	199683.0	4000	200	5.0	1.0

267148.0	205077.0	1000	300	25.0	0.001

267148.0	243734.0	2000	300	25.0	0.01

267148.0	175969.0	3000	300	25.0	0.1

267148.0	211035.0	4000	300	25.0	1.0

267148.0	208638.0	1000	400	125.0	0.001

267148.0	187876.0	2000	400	125.0	0.01

267148.0	171735.0	3000	400	125.0	0.1

267148.0	240095.0	4000	400	125.0	1.0

267148.0	213258.0	1000	100	1.0	0.001

267148.0	207941.0	2000	100	1.0	0.01

267148.0	185306.0	3000	100	1.0	0.1

267148.0	211696.0	4000	100	1.0	1.0

267148.0	243229.0	1000	200	5.0	0.001

267148.0	188687.0	2000	200	5.0	0.01

267148.0	172045.0	3000	200	5.0	0.1

267148.0	205895.0	4000	200	5.0	1.0

267148.0	197266.0	1000	300	25.0	0.001

267148.0	193670.0	2000	300	25.0	0.01

267148.0	176330.0	3000	300	25.0	0.1

267148.0	218330.0	4000	300	25.0	1.0

267148.0	221895.0	1000	400	125.0	0.001

267148.0	180354.0	2000	400	125.0	0.01

267148.0	203273.0	3000	400	125.0	0.1

267148.0	233749.0	4000	400	125.0	1.0

267148.0	205322.0	1000	100	1.0	0.001

267148.0	197757.0	2000	100	1.0	0.01

267148.0	168063.0	3000	100	1.0	0.1

267148.0	226366.0	4000	100	1.0	1.0

267148.0	307491.0	1000	200	5.0	0.001

267148.0	188472.0	2000	200	5.0	0.01

